totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
200,374,1.5802069879388412,1.3255853047353618,1.891105961952063,2.209409901641471,2
300,716,1.636432086251637,1.3540748347800582,1.949189575997179,2.3130031260528785,2
200,515,1.570420188755408,1.3008956466767798,1.8408119305903825,2.201780960538,2
300,831,1.5876499756140041,1.3180277927532185,1.9446780187579862,2.36578143378564,2
400,1087,1.6024609694895307,1.3027486279787313,1.9819418862684692,2.4627634709047843,2
300,863,1.6429062404496608,1.3585021195779992,1.992810833056256,2.3960923790975404,2
200,534,1.5379842061493045,1.3083182706019194,1.874072600320731,2.2462702854934515,2
300,844,1.6113078268867689,1.295456940821608,1.9458801407637476,2.290799272547294,2
400,1187,1.6741749260598437,1.3458440634147149,2.033341615822211,2.5325284338202327,2
300,891,1.6337151569674855,1.3396590451755142,1.9779777287843727,2.4516521932016473,2
200,542,1.555689679799141,1.3105127221717803,1.815578529854104,2.2951189631686755,2
300,732,1.6119537500884218,1.3218541699004,1.9442404284321295,2.3880069727083266,2
200,525,1.5586012597208507,1.3033740004373702,1.858726777558263,2.1644759883578097,2
300,859,1.6085822372543093,1.3315581858614247,1.9161996337413547,2.315120589595415,2
200,534,1.5349844694435415,1.2740114741985487,1.9112718415681211,2.223070076893922,2
300,845,1.5914054240381028,1.3292295813042299,1.947640911700852,2.324599878432892,2
400,1087,1.661347124199974,1.359571223440725,1.9866810533390484,2.4219943894912426,2
300,885,1.5751010637498313,1.30195580064529,1.9494838794680158,2.4075663238878335,2
200,539,1.5399606652590212,1.2977729746580207,1.8720368031866412,2.1719959835937206,2
300,712,1.599514988600287,1.329582328746733,1.9028112883133645,2.3197568442449197,2
200,548,1.5316562235045805,1.2709084811912628,1.893139581874569,2.2792967009880445,2
300,796,1.6429957592393807,1.3149256322839298,2.0194288403184695,2.35477069927472,2
400,1143,1.6652057402586586,1.352152757656119,2.037869681148467,2.536689453463268,1
500,1224,1.7989242878679843,1.4165167270957588,2.223514002348925,2.790266990062939,1
400,1150,1.700722606345851,1.3659890745928787,2.0957025337433137,2.591584725204496,1
500,1261,1.7677369968598073,1.4251555685910913,2.2395531857603763,2.7775781508417134,1
400,1137,1.688051308992971,1.3569614265294159,2.113729173814515,2.706950092802761,1
500,1281,1.7627143665648848,1.3881906516780902,2.183482720926334,2.7559347388630653,1
400,1097,1.7153497361817556,1.3705679571356848,2.118265138569522,2.540930100911231,1
300,784,1.6104575648700838,1.318584691389566,1.9285196603511567,2.328609217990966,2
400,1046,1.6908477495600365,1.3502909656292774,2.0851219084331793,2.6123365197267487,1
500,1158,1.723999144020879,1.3758195932899326,2.18103710474941,2.806191678930799,1
600,1300,1.7866871576632735,1.3803670795499496,2.3017808548609002,3.077021555541106,1
500,1118,1.7480227988387935,1.3598426961606842,2.1951633041600074,2.6975222818684124,1
400,1044,1.6726522429150514,1.3562184843176857,2.0421883048092293,2.5192482825017444,2
300,768,1.6570053320829055,1.3376158252307586,1.9715536833044125,2.415750988299372,2
200,549,1.5617980198384604,1.3150958733317941,1.8882516978832344,2.18990243474639,2
300,760,1.6199904909455372,1.3176905064226347,1.9507621488305114,2.38304092916668,2
400,1019,1.718213706725273,1.356611211577075,2.1108007933917854,2.5695484045549337,1
