totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
200,637,1.5626431016533096,1.304080477375096,1.8509649938367414,2.1421055594483267
300,1172,1.610854133386561,1.3048590927175812,1.9190439113326263,2.301976172793743
400,1378,1.6816467455403337,1.357822997659719,2.0825109652059215,2.5489310252461332
500,1642,1.751518460422885,1.3588997276185335,2.1994158707030556,2.859041048195902
600,1647,1.812947769280686,1.4255554869051905,2.3537860936076918,3.1800267050965862
700,1802,1.8880578247558453,1.4235012127334477,2.468654081024277,3.3929860295985743
600,1651,1.8581854934880047,1.4263546753924983,2.3629298056670436,3.2030582632293103
500,1671,1.7812892486031213,1.3859238616544358,2.179284488053825,2.7076351865076713
400,1334,1.6861987819566102,1.3534939149685454,2.058320422581149,2.571958522022176
500,1548,1.7439645540558575,1.3829432855599124,2.1918619416794245,2.827713337665713
600,1621,1.8017384175781335,1.3600214270673552,2.3270119537475913,3.184377798216672
500,1465,1.7595983174760739,1.3880653341740514,2.179771897647841,2.719433664280576
400,1402,1.6855497037969436,1.3581772185431735,2.0863050910976995,2.525777970801359
300,1159,1.6257310115490944,1.3433853250551742,1.9778109847670264,2.375999517418729
200,825,1.5433118971399853,1.2868957942795016,1.858433913601446,2.1440390465687806
300,1087,1.634926671729118,1.3630798610344041,1.9428128524381205,2.3374524721173233
400,1418,1.6817659782646006,1.35093417392061,2.0382833057374397,2.453792375640283
300,1102,1.6217717664277382,1.3321788567959827,1.9664032235365854,2.3963843301705228
200,835,1.5647963728755405,1.3082863016132364,1.9289530938924893,2.32756163536928
300,1176,1.6134691577303508,1.3144758155800784,1.9578831048432381,2.315564332638288
200,865,1.5279725293478679,1.2904876239120238,1.9050075134379432,2.3321990035457776
300,1123,1.6110175063778651,1.3397892586229747,1.9581970255627517,2.3827954917753322
200,848,1.565749054204249,1.296764522040621,1.8924354923729931,2.2887629004470327
300,1150,1.613342430660615,1.3154167378681823,1.9469537933771082,2.401691306254871
400,1535,1.6916845141364512,1.3597622681244306,2.074811497437156,2.542457824028525
500,1689,1.788653146010141,1.3911642550320997,2.226232290021272,2.8017682045990036
400,1566,1.657869612524825,1.3532884130258895,2.0300494872270014,2.4764521367131858
500,1692,1.794285809362933,1.4045561380384917,2.243574573225728,2.771483086185335
600,1860,1.8341560939657364,1.378005576535619,2.350876518865708,3.0872706214648935
500,1758,1.7243809138926802,1.3836093786333474,2.1409322691735175,2.761546835096179
400,1549,1.6931250313746948,1.3767767646106044,2.054775045922037,2.568891718374031
500,1733,1.7435489424580586,1.3361184636410277,2.212078968857231,2.801966968995597
600,1858,1.8748359977810296,1.4359518514915162,2.487840308817602,3.2059640479164613
700,2032,1.841452853730855,1.4017625452878542,2.5369744968025607,3.5627107241180935
600,1792,1.8024572521501052,1.396450237983996,2.3426944531318616,3.121828292709087
700,1950,1.9317211530897045,1.4515121552709986,2.5190754192734692,3.479857957746159
800,2093,1.9403666736223972,1.4170495817831033,2.6257002069697957,3.636691293761464
700,1943,1.8480755737904477,1.4035901112605547,2.391762855031452,3.4358698842620132
600,1750,1.788840847972823,1.4104446180239714,2.2917196775580218,3.070202489246351
500,1674,1.7686324130467792,1.375360428657064,2.217357868980879,2.8293031004645157
600,1767,1.833628353074361,1.391841225591779,2.4353074476367214,3.2335858068732435
500,1729,1.7880231885400761,1.3900187485788202,2.247890319912596,2.7964623879503367
600,1939,1.8409013831766428,1.4067822711979079,2.349028072424625,3.0584648567385297
500,1707,1.7639916993306783,1.3614911306469892,2.1992644875744785,2.744080398712991
600,1825,1.8894111554868862,1.4331683133260587,2.452927045821977,3.251452431736136
700,1957,1.8619265297060648,1.4248019380992116,2.519381647047343,3.5787737868932243
800,2019,1.943196713569518,1.439200178011705,2.6499537611618815,3.782617867157421
900,903,2.0972054439678103,1.5987989941932619,2.831566299566214,4.374385689093268
700,296,1.9238153541836844,1.442040213516978,2.797840718699649,8.581169933174603
700,1777,1.877028288214937,1.407101121973161,2.4575735101362075,3.4587417371309566
800,1715,1.9659198210569737,1.4464005234209374,2.70546112818783,3.752939926134343
900,1812,2.1154243265215,1.5492623573416404,2.9348671063784955,4.142398268148024
800,243,2.0603287734628113,1.628596071660538,3.0817886489798423,4.658469560293731
