index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,200,385,1.5896252505700748,1.3232849180536606,1.8899727694194206,2.2557910429172634
1,300,922,1.602685351309455,1.3324324762344935,1.9100506915254452,2.2996053106888326
2,400,1187,1.6893541777765304,1.3619662196229116,2.069362587431217,2.5113810082804964
3,300,908,1.616790860396479,1.3350378271420165,1.9443208891748007,2.288094381376123
4,200,635,1.561178914236975,1.2996728242252014,1.8638781260289865,2.1309028876225535
5,300,852,1.6287398715638095,1.3300930677974652,1.9807050744452144,2.327554906892459
6,400,1100,1.691208925133171,1.358150627018251,2.100031544331792,2.5340287781371718
7,500,1418,1.7175905431921008,1.3615440952231674,2.220432442622872,2.8058771088385677
8,400,1094,1.6725860834864315,1.36984310664016,2.0356889275824726,2.4696084571195014
9,300,857,1.6247728000075166,1.3417120531999307,1.9457717004506898,2.31566946966308
10,400,1083,1.709645744149204,1.4164202197355507,2.051236035443094,2.4612284427026725
11,500,1291,1.7374469874999547,1.3571889240473152,2.190402109715998,2.8278990688315493
12,400,1090,1.6820038871644258,1.3578203267729294,2.0665015237120214,2.5240877989190706
13,300,848,1.6668491167055361,1.362295166737576,1.994531686586608,2.435588044996959
14,200,629,1.5458700912381211,1.2952315351847798,1.8634082978990407,2.22398510218267
15,300,842,1.6038597793729514,1.3309332298777137,1.932757919419289,2.314245927618058
16,200,655,1.5625588306487332,1.2831961972908967,1.8928079718547344,2.2417097821371565
17,300,856,1.6153636134175158,1.3190034017228012,1.925112512328717,2.3680293429706065
18,200,664,1.507163829193578,1.2354735430492183,1.8068010753076873,2.1347632759259683
19,300,1110,1.6584642195805448,1.3674927677506776,1.9933314978374645,2.4345006439281076
20,400,1382,1.7093852457564214,1.3698626037997002,2.0912975584378692,2.563352992671242
21,500,1547,1.7817575700850898,1.3500882736172195,2.2336116980951535,2.7573622406379545
22,600,1663,1.8255429879696625,1.3834350475449169,2.3799465017386012,3.1588986519980775
23,500,1513,1.754691196958051,1.3794175925387362,2.1942221072306447,2.7495297043971947
24,400,1422,1.6469413608637398,1.335299144345961,2.053618086443241,2.522801007869617
25,500,1577,1.7699693965355485,1.3560099542420883,2.1940453827796786,2.805503114474888
26,600,1624,1.8707227927278265,1.4077741986574943,2.425490555115955,3.2913010595440295
27,500,1581,1.7435693804601091,1.3779972262212257,2.171237829583518,2.7023433437848605
28,400,1409,1.66523295943489,1.355887340480338,2.0222430566138248,2.4997201672154503
29,500,1504,1.7966166561982728,1.4023778510483509,2.210578049187136,2.725862601933995
30,600,1702,1.8243036512299535,1.3773772168093468,2.340376688752617,3.0815167836483024
31,500,1501,1.757388740625887,1.36471635643751,2.2024910660879806,2.812586327448092
32,600,1698,1.8559691876415672,1.3961174587076755,2.45340683431161,3.191906813043186
33,700,1745,1.926473329864501,1.4286222575965315,2.531259695411342,3.6028957746016994
34,600,1682,1.8127779087030818,1.3776754451177764,2.344879726058802,3.204863181313263
35,500,1501,1.7850738961476085,1.3874427761680843,2.241333607057259,2.9436112132166503
36,600,1650,1.8118552513048027,1.3902903262896347,2.3777033932923444,3.0553803108525712
37,700,1672,1.8979461384067902,1.4215668358919373,2.5729944647346876,3.5535000710088624
38,600,1647,1.8241684825123383,1.4257527868327604,2.327163789109826,3.124262514808885
39,700,1732,1.8911153696801999,1.4390553534380688,2.4247020789845948,3.2952285521335045
40,600,1689,1.8031030495762244,1.3586534387494476,2.3860990759788527,3.129654198734456
41,700,1737,1.9061845078040864,1.4007516124118469,2.4943097582315765,3.3307325139651254
42,600,1617,1.814648787204955,1.4007746524533202,2.346725767509552,3.160734595258594
43,500,1536,1.742745800625256,1.3668002284941234,2.1808661865959587,2.6886780563836195
44,400,1382,1.6528836103620985,1.3253031493348473,2.035547398499968,2.458621451898904
45,300,1147,1.6024111728845605,1.3260411173357292,1.9518790204593228,2.3508294798986458
46,400,1503,1.6906404591057775,1.3856907950051074,2.0779657219452563,2.5441881936283353
47,500,1579,1.7303120024061642,1.3728587562401966,2.1650090407028335,2.708158446351641
48,400,1429,1.7064479228384357,1.3583977164943395,2.0700493507773183,2.5127203848305513
49,300,1007,1.6449348091139908,1.3296553656600711,2.007385511247635,2.3659994352638365
50,200,670,1.5560904734466923,1.2950897631137226,1.8417339155999797,2.2144322303060466
51,300,951,1.5954990004874454,1.3095394143436074,1.9209844714555797,2.3418551367914415
52,200,668,1.5570254266049646,1.293980685267724,1.8799965739839914,2.2112699123002186
53,300,948,1.6155312364251597,1.3409196516033401,1.9746114989849326,2.4008203713502243
54,400,1125,1.6829267799139929,1.3550679862545396,2.0356191240886177,2.4906651850980666
55,300,865,1.565858605296881,1.2726084484090272,1.9307717111724025,2.252311664839492
