index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,930,1.8436346283928895,1.4508020220414746,2.3483446006651914,2.9020366628201733
1,450,1307,1.792462815185019,1.4273252850963456,2.228834335637197,2.7451065599043742
2,450,1343,1.807106647668448,1.4590466803426363,2.2559109966580486,2.756431738780416
3,450,1378,1.8231346501600494,1.442726136864641,2.251686019881304,2.8255690205228277
4,450,1368,1.772259358978662,1.4281111000236848,2.193518716125034,2.69709957829251
5,450,1363,1.816850968996507,1.4352639072333866,2.263303249324802,2.7664777928480566
6,520,1451,1.8877367393778752,1.49512051396442,2.376564387986835,3.0170013177546147
7,520,1486,1.861750418389015,1.4516340442811655,2.3736775774795804,2.980653053693904
8,520,1478,1.8254633152250688,1.4408847719863473,2.3217006766894883,2.8687270035825705
9,520,1459,1.8600418829170333,1.4443498327481104,2.3735128092597506,3.054983707682249
10,520,1443,1.8737377262789487,1.4719961752288704,2.3862137179576046,2.9829906750955653
11,520,1474,1.9165584164764184,1.4822725137419615,2.448027486442775,3.1577047802940115
12,600,1655,1.9267306488853901,1.4643387677490263,2.5074286577466687,3.3013136283266045
13,600,1628,1.9803227271876513,1.498053840207712,2.5263359637228877,3.2737647974337856
14,600,1730,1.9397258921024974,1.4782585271262887,2.510199886014065,3.3428415557236857
15,600,1693,1.9287545403867916,1.4557397575089843,2.4916802634747053,3.371286892386403
16,600,1735,1.9186718905066342,1.4765660716977305,2.4332969695519564,3.2074262174542483
17,600,1548,1.9059405169191552,1.4721028027265264,2.513406014230667,3.340876857801235
