startCarNumber,totalCarNumber,overhead,duration
446,450,1.4572454081334885,151
442,450,2.667772191074123,810
446,450,1.823396752531982,128
447,450,1.892632651146583,122
446,450,2.0649702387881606,496
446,450,0.9977934484147244,64
448,450,2.297594620712826,551
444,450,1.7434967624888336,509
448,450,1.5315741522722188,179
447,450,1.8960462690679296,320
446,450,1.2005668375712226,141
448,450,1.1418520292540504,226
445,450,1.2666829376124977,333
446,450,2.3088929432874683,331
448,450,3.0107329924692743,204
447,450,2.263167192820583,31
448,450,2.141660863372402,488
447,450,1.7958007349532774,414
446,450,1.9380704583445667,427
447,450,3.5211637236518873,155
446,450,1.5667744877827154,716
446,450,1.3898715502756689,103
448,450,1.3380244907859629,33
448,450,1.593123333939436,194
447,450,1.4282889191723067,165
445,450,1.7315429146072003,380
446,450,2.2874734691530794,831
448,450,1.330951047717472,63
448,450,1.8852977189536182,586
448,450,1.3834250855569745,142
442,450,1.7704173847956128,307
449,450,1.60691813164785,256
448,450,2.3702495057531046,27
447,450,1.2904623882182165,197
445,450,1.959393829351429,488
445,450,2.0529339650610505,252
447,450,2.0181238341464582,713
446,450,3.6234083968737427,275
448,450,1.31207261227591,138
447,450,1.2358697053129488,247
447,450,3.319661652296201,364
447,450,1.760430666993525,55
449,450,2.3893694890832724,325
446,450,2.622044640431274,650
448,450,3.0822538236563704,266
447,450,1.8489142640269305,651
443,450,1.7406566996619317,429
448,450,1.563075716940044,279
447,450,1.169651743973832,157
447,450,2.665882809790081,341
447,450,2.6644658267648715,143
445,450,1.4959273942107936,560
448,450,1.3630295256856013,182
447,450,2.2923903439158755,611
443,450,2.2775649382612606,449
446,450,1.495359905606147,257
445,450,2.2642469550421827,530
446,450,1.065542103237134,170
447,450,1.456465532988746,159
448,450,1.3008222044694553,23
448,450,2.3440737788778296,773
444,450,3.0500872587552457,555
447,450,1.8242992000783738,479
448,450,1.2366719556332992,307
448,450,1.0653291317174831,116
445,450,1.8234909915460298,371
446,450,1.4553856067036577,732
449,450,2.5360596412933427,449
448,450,1.658253132230307,435
448,450,1.9106932568452264,154
446,450,1,5
448,450,3.2546170526288654,429
448,450,1.4947995008717885,42
447,450,2.225804789228905,377
447,450,1.7683850818462603,265
447,450,2.552205956492335,696
449,450,1.1409952721154495,352
449,450,2.9698073943219634,358
449,450,2.2275564351170676,510
447,450,1.212491099228932,307
448,450,1.0056753863848742,103
445,450,1.5901694354989429,531
446,450,1.3513830772965532,166
449,450,2.2543362316215454,239
449,450,2.84780807220202,382
447,450,7.006349956597763,413
448,450,1.810882637969608,472
446,450,1.681742807995576,404
447,450,1.3220139387374408,229
447,450,1.6663711328273374,567
448,450,2.410322183161507,747
446,450,2.816848648968233,231
446,450,1.152311659084908,206
447,450,1.6767383014577018,145
447,450,2.443199419977975,234
449,450,1.2978483093857796,280
447,450,2.3735216637720944,59
444,450,1.9756539576479897,223
448,450,1.5366294489922223,376
448,450,2.7899864646678725,924
446,450,1.3022865695184265,72
447,450,1.6446094863477079,418
446,450,1.431677343968409,397
445,450,3.274724499425128,333
445,450,2.1754878292560416,348
444,450,2.064064161668871,709
449,450,2.414326652661648,340
447,450,1.7207897145545956,372
447,450,1.9419091392356678,322
448,450,1.4678233363241284,338
447,450,1.8250976082978896,350
444,450,1.5434180037656542,252
448,450,2.9953468546551636,966
448,450,2.181309078149277,570
447,450,2.2277494512511553,481
446,450,1.431008806982643,93
449,450,1.801581653675985,354
448,450,1.413932935002366,131
444,450,2.5983553016096295,349
446,450,1.778543821473332,403
448,450,1.0900153082942046,52
445,450,2.4769378728487705,411
447,450,1.3121598494416449,109
448,450,1.7412447637803323,258
448,450,1.0859658715081435,59
446,450,2.9782588369542506,229
444,450,1.3853086424022365,158
445,450,1.1404352862768306,146
449,450,2.363077869240773,394
447,450,1.4958625925752436,209
448,450,2.159857250624624,324
446,450,2.4390101652254574,114
447,450,2.5463125240914923,428
447,450,2.0110170035146093,422
447,450,1.9298382362562703,503
443,450,1,9
448,450,1.941135587060492,698
447,450,1.939424372812266,374
448,450,4.293103636001013,169
449,450,1.350552882586309,84
443,450,1.830166633094828,215
448,450,1.1766268631603416,104
448,450,1.6098197584488452,334
448,450,1.5137498475755515,289
446,450,1.1259087819037452,110
449,450,2.336275369532346,97
444,450,2.673851615135434,421
448,450,3.281056671416506,397
447,450,1.897103078972999,296
446,450,2.3120388076444947,695
448,450,2.4446106818275926,570
448,450,5.329904838331057,303
447,450,2.426796838962164,432
446,450,2.208272837671372,614
447,450,1.6280823608358843,792
447,450,1.2232959503911573,174
446,450,1.3346959775729885,351
449,450,2.4111209318725044,299
449,450,1.1932674446968252,219
446,450,2.921883242941379,289
448,450,1.0022868815151145,39
447,450,0.9496555152536055,114
447,450,1.7823047959873266,160
449,450,1.984493406078733,70
447,450,1.4976693813959958,310
448,450,1.7702982955965552,595
445,450,2.668876471679993,287
442,450,1.5868998883995251,393
449,450,1.332214771807093,55
448,450,1.1311847578794187,367
445,450,2.266689235025175,306
448,450,1.2661348950373732,81
449,450,1.5454689728323678,427
447,450,1.5307541193202039,263
447,450,1.8468073608380224,450
445,450,1.86220920603829,712
448,450,2.169187350024509,484
446,450,1.814674273216275,432
447,450,2.0832370873322503,466
449,450,3.0197265931517867,213
449,450,1.4213448825971198,40
446,450,1.8711252740534903,173
444,450,1.149161966665823,92
447,450,1.7805414057806164,586
445,450,1.7415221217945454,343
446,450,3.1922938971498542,414
449,450,1.845590625393764,392
448,450,1.7168782216505953,684
448,450,1.6836473178851903,230
447,450,1.6386866717502149,437
