totalCarNumber,avg_overhead,std_overhead,var_overhead,median_overhead,q1_overhead,q3_overhead,p9_overhead,duration,label
200,1.7206478814594868,1.5075176462125295,2.2726094536421653,1.53811762270751,1.2989459997715396,1.871036269330927,2.299616686771737,296.3483709273183,2
300,2.253382198809956,3.7018164578012285,13.703445087248035,1.6247819924598677,1.342382940792965,1.9843643479831488,2.4129341348418047,393.10537870472007,0
400,2.1298766931316635,3.127967426587463,9.784180221792196,1.6808662812913326,1.3567713627019569,2.1078589592048336,2.56737116417326,432.2542372881356,0
500,2.404612874842639,3.654207109144971,13.353229596525646,1.7849964378598222,1.404471548935068,2.2755787482098038,3.0342774120678246,557.7104183757178,0
600,2.382491168243293,3.144748220298356,9.889441369069676,1.8766450185766135,1.3936178409033875,2.483589935306156,3.2294864456455747,586.1908876669285,0
700,2.6145074267455093,3.4686716163363083,12.031682781977137,1.9206312073803646,1.4468543824508355,2.557039215912087,3.7194126289648577,686.0576923076923,0
800,2.6900710112310886,3.465051522402238,12.006582052902067,1.9576893618332047,1.4149578248114467,2.7009130296757298,3.9275782614877306,730.5063460253841,0
900,3.005767980783356,4.033024298313605,16.265284990787944,2.0919668191901586,1.4840675711246147,2.9310877661450907,4.484550951985589,961.185137732223,1
1000,3.174093574258728,4.2893934588331755,18.39889624468083,2.120012070121613,1.5359389073030354,2.9383754577891277,4.828336564362022,1009.5864611260054,1
1100,3.2351172602607057,4.383046790638916,19.2110991689301,2.0918740680479195,1.5389576215533045,2.895735881673318,5.177382680325923,1106.3190383365823,1
1200,3.76132137219146,5.266001742895685,27.730774356180387,2.187463404982172,1.5702044191397853,3.332114889063085,6.49024428723181,1273.7399868680236,4
1300,3.768018140664852,5.237695895395595,27.433458292643866,2.2046124109156224,1.5457105989836792,3.420965244781013,6.386512989779399,1551.237684729064,4
1400,3.2320438976338766,4.125584708726596,17.020449188878718,2.1020580805261226,1.5313888478073991,3.1970893449634596,5.495887806056627,1103.9929824561405,1
1500,3.534599515356079,4.838316675764295,23.40930825497886,2.198497559147047,1.5453623323611216,3.2000147392713685,5.774733384878852,1603.722094361335,3
1600,3.3807935050527336,4.228563571622883,17.88074987925607,2.1801866562839747,1.5273289704874509,3.2818334575774832,5.872563032896131,1052.5630193905818,1
1400,3.3473905624415665,4.649708457570831,21.619788740405724,2.049394564471758,1.4908580712485038,2.918634782338056,5.841570680560872,1236.6925441967717,3
