index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,944,1.7428703963323928,1.3877995851333846,2.1082077319815284,2.656046194316134
1,450,1368,1.7343388445023349,1.3747042325304137,2.1378473474047377,2.6758693884753613
2,450,1344,1.7686166739491158,1.4134128001044362,2.179747547892525,2.7092059428125115
3,450,1364,1.6744572929188886,1.3520636924779652,2.0941661813252757,2.5853017632478217
4,450,1377,1.7196602793982196,1.378596755140707,2.1620057828132078,2.6106911439847216
5,450,1365,1.695353001441761,1.3590480806153973,2.1106691114475127,2.621633030607944
6,520,1553,1.812621449889977,1.3895705323616396,2.297695067277214,2.9126674420550955
7,520,1594,1.715094565918431,1.3344014252120204,2.193897903008637,2.7679773287096783
8,520,1544,1.7855574131575054,1.3734914198358492,2.2435181749140662,2.8684676713142503
9,520,1533,1.7691451154306592,1.3652995147151932,2.2459978368081743,2.834872157938441
10,520,1558,1.7807108156863167,1.4138841288562212,2.2449389940731255,2.927223473017622
11,520,1543,1.7958500854841852,1.399887037581651,2.292358269129208,2.959035664051126
12,600,1540,1.8561773762672966,1.4051854151088246,2.4319285280463974,3.286327432861129
13,600,1618,1.8377258165333763,1.4028117078875926,2.4008024009343565,3.175792925800825
14,600,1618,1.80859671825672,1.38643265844745,2.33329828318612,3.058575133984038
15,600,1615,1.8518585264805694,1.3949577814257288,2.455199909625356,3.2828041461880004
16,600,1625,1.8778249135429308,1.4038082238324723,2.4387167627055883,3.2185325972013086
17,600,1528,1.8204634767836845,1.4070250582569341,2.345541053787092,3.17007230913431
18,350,1136,1.6714232895207082,1.3680852902058946,2.0297423417352927,2.4680868512145686
19,350,1220,1.6273169886945618,1.3495186861557966,1.9741991801438925,2.3573351500205466
20,350,1180,1.6785882353772759,1.3935400034642647,2.0345994436230495,2.431953214854695
21,350,1243,1.6486227565216653,1.3456406617243803,1.9574886386693193,2.391958592414908
22,350,1216,1.6441635321649444,1.3492384530795525,1.9957285477915956,2.4206406800629807
23,350,1157,1.6436421407114117,1.3128247167851377,1.9962228762270142,2.3623269375968823
24,200,835,1.5793700469926766,1.3009362479382898,1.8785371706670921,2.2130420029004245
25,200,828,1.5412628590734783,1.3083780045462756,1.8833877879544183,2.2110201562904663
26,200,848,1.5407401522749795,1.287889525533397,1.829747231869154,2.215099001776588
27,200,841,1.5772684918718178,1.3126758439289714,1.8893163953819465,2.2469641873582593
28,200,841,1.524186038175983,1.289111923181862,1.8513240682660892,2.208232248248472
29,200,761,1.522826507249403,1.2780097128738177,1.8310129726184565,2.198009549197681
30,50,199,1.460782470004927,1.2229483275185782,1.7468528793360671,1.9687416559413393
31,50,181,1.4243385070547085,1.1720703846090545,1.6919570747416446,2.04324378494185
32,50,187,1.495797859956593,1.2590293175621354,1.7196664748621548,2.062256966844599
33,50,191,1.4240614302503907,1.2024207026040545,1.760913084840114,2.098631312922333
34,50,175,1.4989230779181795,1.2517461156919103,1.7763782373560077,2.140814835798136
35,50,218,1.471866215862251,1.2076366233519438,1.7224706375156882,2.041113398696827
36,200,635,1.5540086968517521,1.2952969529860654,1.819757247240446,2.1429581486825273
37,200,656,1.530652235893556,1.254764307029777,1.8308914320177285,2.19436788598143
38,200,619,1.520116063699496,1.2739033216084503,1.845167636190018,2.2131209331983333
