startCarNumber,totalCarNumber,overhead,duration
startCarNumber,totalCarNumber,overhead,duration
448,450,2.391983585686819,256
446,450,1.3561331711904336,41
446,450,1.859866554525263,138
444,450,1.1841399912524866,188
447,450,1.4957677496212498,297
447,450,1.7568938749653369,265
446,450,2.079610286559506,277
448,450,1.8614186926469511,211
447,450,1.355427120835636,20
449,450,1.5903085968051922,400
447,450,1.7479592567997129,485
447,450,1.4357706331956457,420
447,450,1.8148606238827414,173
448,450,1.5997357864931028,178
446,450,2.2907702184764833,165
444,450,1.6393348550079005,216
447,450,5.003826153687594,478
447,450,1.590012196023543,203
444,450,2.847739632545425,609
444,450,1.2481215551137814,201
449,450,1.7352030227142956,370
447,450,1.8738419435983513,147
446,450,1.007625386995558,278
446,450,1.9722141404996358,833
447,450,1.2750595085634058,192
446,450,1.21712419291515,339
448,450,1.4743776815558267,102
447,450,1.7543707532551418,198
449,450,3.2950487728896762,102
446,450,1.9063861689958759,157
448,450,1.064414917628468,124
448,450,1.943212768771498,415
448,450,1.0838012835124522,209
446,450,2.040364344635591,351
445,450,1.5349039170560832,414
448,450,1.4614265436310463,609
445,450,2.1340297903956027,685
447,450,1.326411636869808,326
446,450,1.1655326271751554,206
448,450,1.570260435272637,411
448,450,1.6339095845812879,442
446,450,1.5745361731013439,478
446,450,1.8240370885764023,202
445,450,1.3412431266909095,99
449,450,1.0178082205130243,189
445,450,1.9238581270476118,485
448,450,1.8239890656588948,525
449,450,1.546367838382838,547
447,450,1.8546404245286792,489
444,450,2.0690644477080085,246
447,450,1.7413332078069745,146
445,450,1.4084591681632672,66
449,450,2.285362614793057,658
446,450,1.9030873218852762,198
446,450,1.5383501440538774,142
444,450,1.9876373561614789,484
446,450,3.621941038581285,402
447,450,1.4942899259919866,251
449,450,1.859485750931137,167
447,450,1.1815829177139427,184
445,450,2.6246531200113177,384
446,450,1.6620177437534076,406
444,450,2.964065906848175,418
445,450,1.9502303721020613,482
446,450,1.7286672825585223,238
446,450,1.7134632026242609,188
446,450,1.5716872371078028,146
446,450,2.698239621563776,320
446,450,1.6205186377822243,494
448,450,1.3853901047308388,137
448,450,2.7582753537943723,365
447,450,1.7282041364071095,236
447,450,1.4981356778628547,124
446,450,1.7257460773363544,341
449,450,1.2116253019801098,181
443,450,2.2787518468653056,328
449,450,3.2736551201213184,105
448,450,1.6568054105479932,524
449,450,1.8337782206224242,372
449,450,1.924754114429527,238
446,450,1.3507572377156791,197
446,450,2.1860892163915278,467
444,450,1.3528681542617977,333
446,450,2.1336874374430974,425
445,450,1.2951066300537961,337
448,450,2.8053772504885406,109
446,450,2.008376431121502,547
448,450,1.031240020611633,179
445,450,1.8612937321399199,370
444,450,1.907811820200937,451
444,450,2.2827880088608477,226
448,450,1.7082109416006859,57
443,450,1.7551457170016769,474
442,450,1.4005368562912086,230
449,450,1.158063079759155,302
446,450,1.6707550179093726,250
448,450,2.2266118429915585,550
449,450,2.7088353683714828,368
447,450,1.6439519375241336,534
447,450,1.7579813963661055,175
442,450,2.311308092226354,421
447,450,1.526802863038319,120
449,450,1.1142704443743823,214
447,450,1.6089359170474955,135
446,450,1.9372706372886235,559
446,450,1.4280955366147432,302
444,450,1.870425098841087,493
446,450,3.229263051082524,443
446,450,1.5780883588112002,364
447,450,1.554409905256284,409
448,450,1.1437590160398314,294
447,450,1.0174905495234963,123
448,450,1.058020488050936,108
448,450,1.0779616905227831,194
447,450,2.340956951101223,386
448,450,2.102772246888798,513
447,450,2.0701911352886495,568
447,450,1.7059388042202392,211
445,450,1.8966624875286415,335
442,450,1.65306926001839,141
448,450,1.5958762733121292,356
448,450,1.3459291461856997,88
448,450,1.5376316478598753,409
444,450,2.4420052495959617,604
446,450,0.9830338846865178,10
446,450,1.229907820477103,133
448,450,1.9197081369236533,313
448,450,1.3632805421294,322
445,450,2.604129940132623,375
444,450,1.5739459346094882,171
449,450,1.1746566203237587,207
447,450,1.0870896529221754,204
447,450,1.3679780023085613,50
445,450,1.2593034777337908,97
444,450,1.2712934150810022,22
447,450,1.193026136072135,243
447,450,1.3353439189846938,215
447,450,1.366555929235241,409
445,450,1.671719073597246,346
445,450,2.132661354920308,140
444,450,1.9608407774349144,165
445,450,1.2099791470969994,205
448,450,1.6154377453793984,443
