index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,1116,1.7330534262259678,1.427900583447451,2.1253173244103705,2.620473842416996
1,520,1865,1.7655628763183795,1.4026750714672316,2.2491706700859386,2.81502877020258
2,600,1728,1.8441803497811629,1.407740442687539,2.349587997859766,3.0640572403959396
3,350,1278,1.614320578112526,1.3169963165871883,1.9604676648610642,2.3692575224748396
4,200,659,1.5535286159911113,1.2988734249788791,1.8517374223639864,2.226398653184926
5,50,376,1.4156966893028338,1.1949598515368254,1.7902409870760754,2.155777313125345
6,200,620,1.5167692790873533,1.2729728776373703,1.858525974917128,2.190921804274545
7,150,413,1.5044461488709941,1.2575000846130908,1.8218655327538422,2.265827987662201
8,500,1010,1.62370474199809,1.344316600664296,2.0165844067241263,2.555829249192189
9,500,1799,1.798791903413445,1.397423073103703,2.24584807836267,2.7901138081629213
10,550,1878,1.833497064727665,1.3762201544876664,2.358021098033234,3.161600951361171
11,620,1696,1.7791108041833703,1.360764374843732,2.2427802903752614,2.91235232732477
12,500,1321,1.6304437236262261,1.3031226075483375,2.0576530203652723,2.5684190397084095
13,300,737,1.5439937587950605,1.288304277947063,1.8344306994906323,2.224785994160451
14,100,531,1.465709385236516,1.2591513724599337,1.7628148703235924,2.1430600506087476
15,550,1271,1.7273043882757637,1.341859891612756,2.225710164250367,2.8658602104311983
16,500,1625,1.7496633634007563,1.377591535931934,2.2172996928963937,2.905144713503616
17,600,1810,1.8156910444709995,1.3655561602881372,2.3466098383310787,3.0571565935059466
18,720,1904,1.8468346559969164,1.408306954021737,2.443037693074224,3.351096794409025
19,350,1365,1.657690647453138,1.3254650167997348,2.0824457626604,2.6461640496770364
20,200,887,1.5747301800830613,1.3105075707706733,1.8862507715580281,2.2481772652610674
21,70,403,1.440200449652306,1.2243731710707146,1.690126794870538,2.000022022282746
22,500,1394,1.7397612936862945,1.3420376206324867,2.1601003361341187,2.7437542041715024
23,450,872,1.7944495260309705,1.3974052466073912,2.6321710955391198,5.441552234195056
24,520,1446,1.7685563541133402,1.375655830214122,2.3411171366404115,3.7055309722959624
25,600,1383,1.8481187247967497,1.3968970980914897,2.4853859056758214,3.6472770269056793
26,350,945,1.6678256152016846,1.3314073550761774,2.095789669242024,2.610958308863218
27,200,446,1.5387230097710172,1.2988362283923105,1.9210151892764293,2.458640809418662
28,50,283,1.6002894360672892,1.3451943015711953,1.9339580398197054,2.5423463564647584
29,200,421,1.5652675288075009,1.313978972655181,1.884953096571572,2.3171541846757453
30,150,273,1.6254868252580128,1.3094951726387634,2.01683203736114,4.178738761602992
31,500,703,1.659000478071951,1.3309122212928182,2.2233677488511607,2.915308979856141
32,550,1224,1.739101910585188,1.3641878203952822,2.463779526686931,4.228728677327277
33,620,1307,1.8260319900712467,1.4028843042167847,2.551166984752464,4.3901674912253
34,500,1187,1.736274514537769,1.358784414935542,2.302405744729867,3.5706571286092936
35,300,967,1.694737949723663,1.3409879510075278,2.2094881132127755,3.0275885258363484
36,300,526,1.5680377236432306,1.2829712667255952,1.9513293545964938,2.5293456040900466
37,100,378,1.5435692870239377,1.2634681509189964,1.8608185149322474,2.4361396755006903
38,550,1086,1.7472012704546906,1.3514490027401087,2.3020738796577396,3.182530930285571
39,500,1286,1.7070426321127674,1.3492135996554042,2.233415384607068,3.0246180632496396
40,600,1510,1.7827421183709848,1.3652264595403112,2.3991471641771516,3.3807921634251317
41,720,1567,1.8008433026582127,1.408516009975667,2.4509332143492637,3.8525733512364804
42,350,973,1.6826832464295511,1.3541549475684995,2.179376214082403,2.8616835682989006
