index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,1045,1.6793814427174778,1.3464201797409383,2.0754761961152624,2.516127235759627
1,450,1502,1.745447433011674,1.3898469860644382,2.203232008159789,2.755297793413332
2,450,1492,1.7225265660788263,1.337931634691628,2.1706718743110875,2.719500038392005
3,450,1512,1.7062353656427773,1.350704815162885,2.131535940642175,2.7058159550894207
4,450,1481,1.6719827285646174,1.3335582699898696,2.0634395829903087,2.5209751662140625
5,450,1511,1.739788257257888,1.387243494829978,2.160851816748571,2.676345481671897
6,520,1537,1.7904269153866734,1.3537396454045554,2.257434016596566,2.8503508074474087
7,520,1559,1.7628951569693838,1.3581960879302293,2.2651487159523143,2.950547325069384
8,520,1553,1.7761943821774997,1.3829816425651016,2.2132216337907913,2.8109707188680124
9,520,1622,1.762991319750064,1.350622083464453,2.2348506005067597,2.825831984852022
10,520,1569,1.7676708263167864,1.4179406035036854,2.198181101513525,2.774339035229212
11,520,1576,1.776193248394991,1.3951743510090482,2.2611410549733,2.9368494551755835
12,600,1681,1.8032629512731833,1.3948870478158577,2.3918498980390037,3.2565159463460787
13,600,1713,1.8036601062310245,1.389850447671125,2.3546447000160637,3.225846725011172
14,600,1749,1.806256443156657,1.3713587670843743,2.3096095374735013,3.201532474032721
15,600,1756,1.8120811847721918,1.4000198195339044,2.296075232954645,3.003011370823558
16,600,1671,1.8299232106572647,1.4283527489151435,2.37009365909047,3.2395092836273793
17,600,1627,1.8157958922872308,1.406572742912212,2.3526130526869506,3.1658606163131155
18,350,1224,1.6482320516516595,1.337363796646212,2.0248277856499564,2.46803943787679
19,350,1223,1.6297753025451953,1.3292375851109037,1.9590314481888274,2.3580088228237117
20,350,1256,1.6424487001735575,1.34363882393405,1.9893815328751252,2.4024504762312118
21,350,1253,1.6668212092024022,1.3540159155147427,1.983127914996521,2.4031916427238396
22,350,1182,1.6696706767970333,1.3461311893821464,2.0159453566061822,2.382034196033066
23,350,1124,1.6350495746099754,1.3243388399000486,1.9952978462999607,2.4124175464836517
24,200,696,1.5318461231221039,1.2710346059618876,1.8700643161053356,2.192323706780833
25,200,665,1.54923727023246,1.3145847535723536,1.8514521113410334,2.18933116482585
26,200,677,1.5359625270746613,1.2578702843677312,1.8402341921024987,2.1582120265308893
27,200,653,1.5741658805099832,1.2999527918385547,1.8797144056970627,2.2200034793717305
28,200,660,1.5361957168750315,1.282834300952644,1.8431488366050601,2.1433451019351066
29,200,593,1.5340480692529883,1.2808537231176877,1.8523245491592515,2.210646621310282
30,50,133,1.4653087278920942,1.267240645400464,1.770233481676106,2.0706890821501607
31,50,128,1.4649006904917057,1.2629405053629683,1.6464066792462662,2.0262978839951744
32,50,117,1.5030598706137335,1.2569683614541702,1.7331072090839827,1.9558297310687023
33,50,132,1.4805341296480834,1.244750679478452,1.7119730696654718,1.934859566768179
34,50,137,1.405069732415785,1.2318010792696121,1.6378658826980845,1.9329285632594406
35,50,150,1.5831054405502323,1.2303597847621746,1.843387275971395,2.0996074585048397
36,200,518,1.5892410180193257,1.3201478059709406,1.8973713016599905,2.296887442323194
37,200,539,1.5465111496212112,1.2778678218781088,1.8394343544347347,2.165386244140223
38,200,514,1.5719355288108656,1.2998611639107338,1.8713842130089842,2.1627065662951033
39,200,537,1.5495669749155954,1.2853152075717766,1.9004937380614721,2.314009731105248
40,200,508,1.5669083839376157,1.3131585442495217,1.886097799671972,2.1973338476528093
41,200,448,1.555450910656433,1.2899409249756233,1.7950427833662794,2.1080642267453062
42,50,131,1.507404085554041,1.2465835270126897,1.8244498722781408,1.9818663303503872
43,50,147,1.4515516353464863,1.2400019249252674,1.7488568900699755,2.1501068472549294
44,50,138,1.470766759148837,1.2702042388062198,1.8849781054951646,2.3700540153351923
45,50,143,1.5423112742023821,1.2689451920891996,1.7981188402920036,2.2502876508758196
46,50,135,1.4755402586235418,1.2356844457607858,1.759822876026508,2.1978374786542902
47,50,157,1.5049729541092305,1.1988741472909739,1.7622600616384823,2.165169370312899
48,150,433,1.5375952625718285,1.2792003915017736,1.8340061753508086,2.192076838843272
