index,totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
0,450,930,1.8436346283928895,1.4508020220414746,2.3483446006651914,2.9020366628201733
1,450,1307,1.792462815185019,1.4273252850963456,2.228834335637197,2.7451065599043742
2,450,1343,1.807106647668448,1.4590466803426363,2.2559109966580486,2.756431738780416
3,450,1378,1.8231346501600494,1.442726136864641,2.251686019881304,2.8255690205228277
4,450,1368,1.772259358978662,1.4281111000236848,2.193518716125034,2.69709957829251
5,450,1363,1.816850968996507,1.4352639072333866,2.263303249324802,2.7664777928480566
6,520,1451,1.8877367393778752,1.49512051396442,2.376564387986835,3.0170013177546147
7,520,1486,1.861750418389015,1.4516340442811655,2.3736775774795804,2.980653053693904
8,520,1478,1.8254633152250688,1.4408847719863473,2.3217006766894883,2.8687270035825705
9,520,1453,1.8600418829170333,1.4442369172219232,2.3738021332045105,3.0563108586322167
10,520,1449,1.8737377262789487,1.4728636150836258,2.3854440577172347,2.979478479993757
11,520,1474,1.9165584164764184,1.4822725137419615,2.448027486442775,3.1577047802940115
12,600,1655,1.9267306488853901,1.4643387677490263,2.5074286577466687,3.3013136283266045
13,600,1628,1.9803227271876513,1.498053840207712,2.5263359637228877,3.2737647974337856
14,600,1730,1.9397258921024974,1.4782585271262887,2.510199886014065,3.3428415557236857
15,600,1693,1.9287545403867916,1.4557397575089843,2.4916802634747053,3.371286892386403
16,600,1735,1.9186718905066342,1.4765660716977305,2.4332969695519564,3.2074262174542483
17,600,1548,1.9059405169191552,1.4721028027265264,2.513406014230667,3.340876857801235
18,350,1012,1.733039998907271,1.4045473185578987,2.0991674868618935,2.527791248527951
19,350,1004,1.7519174638517532,1.3883829631069418,2.1215366163750007,2.598372411871521
20,350,941,1.7609884543860843,1.4486001339852488,2.1167144543767917,2.624445497145879
21,350,992,1.710170832101487,1.3956109333390092,2.0804142888502155,2.4664179074779535
22,350,996,1.7264714269018175,1.377317613127187,2.0766064083479945,2.436865626384991
23,350,921,1.7090876198795921,1.394589367385601,2.0879521047904417,2.548409951440087
24,200,569,1.616536528538737,1.3639135551719104,1.997464931613884,2.321546473953829
25,200,586,1.6431180275029738,1.354522372140191,1.9986350518748566,2.3907562555124233
26,200,593,1.6488478319710116,1.3657033722310175,1.9218269994423682,2.2801557200770266
27,200,607,1.6609440211879274,1.3519260884930122,1.997063609401494,2.301168940077799
28,200,611,1.6889573885997133,1.3587530430601567,1.9871710144100116,2.3364441836255376
29,200,523,1.676013355220151,1.391968625970771,2.035236728828032,2.413539341370633
30,50,110,1.6323806142871078,1.3646257685988832,1.9989311283994013,2.2651265217383503
31,50,127,1.57863574764069,1.3380216636857836,1.7962459375366562,2.0286054854812945
32,50,131,1.5522802283712662,1.3077369650936617,1.9164675733797978,2.2317423263744818
33,50,117,1.6222580760194139,1.314628699311539,1.91373802128671,2.2558409799052814
34,50,123,1.637381577108454,1.3892342155877584,1.886287272569357,2.2430793329243737
35,50,164,1.5686599389266407,1.2673072878227112,1.8695771595212247,2.271051655974629
36,200,636,1.6729897505295033,1.3840657665311165,1.989105997551205,2.33639712457383
37,200,660,1.6820488825874484,1.3772748783614044,2.037258064505334,2.4163395612430034
38,200,617,1.6012926162757297,1.3409265609384646,1.9290228287593694,2.314249811612581
39,200,634,1.6428750112737522,1.3385628689533453,1.9672908989455244,2.312969721548175
40,200,636,1.6095620773634314,1.335269895519387,1.9642899892772314,2.3313266835585953
41,200,546,1.6497197607026597,1.392576267065687,1.951339313107117,2.3744516820164656
42,50,129,1.5885503926393538,1.277002334538362,1.879897509676595,2.2696235338968394
43,50,112,1.6036171140001336,1.3944684438423522,1.8966538830564796,2.201576455595216
44,50,120,1.5929103713459078,1.3271805307892794,1.8445742427449794,2.140622744095721
45,50,134,1.5690039112678353,1.2847933519220145,1.8773645229044922,2.36406234663763
46,50,124,1.569496042419013,1.3466649725676438,1.8484837573465653,2.1237491383677143
