Fit,RUN 1,RUN 2,RUN 3,RUN 4,RUN 5
1,0.6096400545,0.6420626898,0.6378522018,0.6355229049,0.6512537764
2,0.5976013219,0.5719062337,0.6086300518,0.6256157367,0.5932996561
3,0.6651896639,0.6670738171,0.6669223179,0.6940354408,0.6262518646
4,0.6832618554,0.6894222339,0.6924282902,0.6996452627,0.6248907827
5,0.6849089709,0.6934965659,0.6983654086,0.7099561414,0.6830363966
6,0.6916074073,0.7038640864,0.7056431389,0.7159705766,0.6910252334
7,0.6507942452,0.6683315673,0.6663083972,0.628135864,0.6492008806
8,0.671841673,0.6828786301,0.6839793188,0.6370380692,0.6687661371
9,0.948840553,0.9433308235,0.9512186336,0.9521296838,0.9388296439
10,0.927615587,0.9131609642,0.9356075505,0.9239789629,0.9246946402
11,0.9067052151,0.8883548535,0.9249921522,0.9015269231,0.9158641713
12,0.9025510078,0.8822880237,0.9172032442,0.8940410004,0.9091805539
13,0.8970811328,0.8761142692,0.9069742332,0.8864177968,0.9017037463
14,0.8812453532,0.866310548,0.8926538883,0.8744634229,0.8974223374
15,0.8794235746,0.8555311697,0.8860793828,0.8720553981,0.8930674487
16,0.8753582274,0.8546844276,0.8826652986,0.8719784143,0.8928538061
