totalCarNumber,avg_overhead,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
200,1.643254770279751,1.5654191636422938,1.3221928928042994,1.8162615578514996,2.1868866690909776,0
200,1.6850663390422909,1.5796171361877342,1.2971063567344476,1.8740361541425772,2.190611760253932,0
300,2.3021949356312876,1.6468425757048364,1.3441688376105412,2.025061798707633,2.4155035389898085,0
400,1.8214259188928996,1.6755920776223208,1.3469467773911536,2.031449355813656,2.459303180593904,0
500,2.2756052181569904,1.7627500771793465,1.393507367754052,2.2252476506564016,2.870655395364917,1
600,2.0356128421051904,1.8273032597989316,1.3782654324606214,2.3501602031633455,3.1143567798915135,1
600,2.092913213936597,1.8433835946666624,1.383228060627693,2.4077861515266243,3.2953664415832615,1
500,1.946827447682304,1.783548019307422,1.3884388273480512,2.2461119749866647,2.893449816718722,1
400,1.773715100442048,1.6431265356598455,1.3297332091771181,2.039635092857307,2.5165926755094117,0
300,1.7023198414833807,1.6184377881498409,1.328588968354682,1.945167695503092,2.349671440602084,0
200,1.6249347128238678,1.5606184711908528,1.3407374677788588,1.843508403511604,2.1318190567964797,0
200,2.0384602392902207,1.5371237527383632,1.2958712841973252,1.8584948657056697,2.3043806112768386,0
300,2.029330986043253,1.645260331990186,1.3422449174360715,1.9595899241657442,2.3723926360549457,0
400,1.7686320071444268,1.6613902428721035,1.38875800395796,2.017028001623847,2.479259610773527,0
500,1.9414112862009023,1.8000647587181273,1.3805243058583299,2.2415511580457452,2.823617237953356,1
600,1.9885303021931864,1.8080682113985325,1.40434541987244,2.2849336911525366,2.926963468779204,1
600,2.1348915078263744,1.8125182373779398,1.389463374931265,2.3853223830847283,3.326200219933141,1
500,1.8609648931263865,1.6905626993983516,1.3641454268955029,2.0957545779886786,2.677808674136128,0
400,1.793391163889924,1.6785971401447382,1.3618333486665244,2.081868639009607,2.5319492385434805,0
300,1.7197314267179777,1.6265740099336905,1.3234616742668373,1.9484483162547794,2.3719360895296258,0
