totalCarNumber,avg_overhead,std_overhead,var_overhead,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
200,1.6544662252335471,0.45672738556238063,0.20859990472264747,1.585120861257014,1.3355092147373575,1.8752244018483863,2.173912960136791,0
200,1.6514407491556053,0.4983081811030617,0.2483110433542417,1.549226665561564,1.2926727965352116,1.896243179240535,2.2300808490375243,0
300,1.6904470130556652,0.49507876417215857,0.2451029827342318,1.6084202893377673,1.332689708860195,1.9424041437137827,2.317476752087165,0
400,1.7759293796911721,0.5676051047784837,0.32217555497059347,1.6733565305061813,1.3663749665292895,2.0457567874453857,2.4662506639483435,0
500,1.8860823244377476,0.7726112203628607,0.5969280978305889,1.7389783503891942,1.3691759350792838,2.177612204308963,2.7612478551775688,0
600,2.0059913064584682,0.9228365690001652,0.8516273330839966,1.825030376867793,1.3653481778497312,2.3356968070919604,3.0078938340748906,0
600,2.050079572687198,0.8938341253820219,0.798939443697444,1.8504366106769448,1.4198547033721984,2.4113243902887147,3.0666600008053844,0
500,1.898084405485083,0.7607558342179128,0.5787494392965924,1.759926816216463,1.3667789688066216,2.1887467145041892,2.784511239470233,0
400,1.8051338358276685,0.633245464367287,0.400999818141741,1.6918876123942272,1.3533955621786582,2.085128617984009,2.526495668096673,0
300,1.707713334865384,0.6188075065974705,0.3829227302213785,1.5823324676386108,1.2895217771409013,1.9539237892893195,2.3714356087404256,0
200,1.6692159704782292,0.525386987710794,0.2760314868558219,1.5790147631724505,1.3187217530551023,1.8953367198273807,2.2624214065122477,0
200,1.6207128504646038,0.49156135590861416,0.24163256662271526,1.543774838270816,1.3066459277444864,1.8291990251529486,2.1771206078207497,0
300,1.9942217963627662,2.8095894739170393,7.893793011945426,1.6252815080448153,1.3600521058930986,1.9643945831148644,2.3476844664950898,2
400,1.9748943177767988,2.377164351605861,5.650910354545712,1.6805047687177288,1.3582533029515476,2.0646593805788624,2.5043128160248216,1
500,1.8813921799985938,0.7324449615443509,0.5364756216917056,1.7308906137134725,1.36573929346441,2.184284303154991,2.7791116356576717,0
600,2.095062515780009,1.0723784886770187,1.1499956229772068,1.8439941927413308,1.4000544142101878,2.3893481878067573,3.234884638373197,0
600,2.0736242531101388,0.9705850300827149,0.9420353006206647,1.833483673793809,1.417212558304695,2.3871685996096517,3.1739238931561173,0
500,1.949705231838023,1.07827025715373,1.1626667474623709,1.7537366613848473,1.3815829039550758,2.2352455220445,2.8637821358477247,0
400,1.7659743420228589,0.5566084409525154,0.3098129565395898,1.6725235946964827,1.3482024350190391,2.0600059749749704,2.4699685418561432,0
300,1.6736264888729409,0.4895576784474193,0.23966672052682683,1.5999586661556213,1.3168245735331383,1.9141344922756423,2.259352677335028,0
