totalCarNumber,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
200,1.5430407235922146,1.3228937855170324,1.8587221465745385,2.1462594494391896,1
300,1.6043884962088932,1.309388516593488,1.9383918837232237,2.3250428070743103,1
400,1.6952146986048229,1.3679435571524912,2.0841603558947703,2.5620478860601223,1
500,1.805706765635636,1.3982567247459479,2.3501105410706185,2.9763591918154155,1
600,1.7939121262703022,1.3591651662275066,2.4067995407345713,3.1234497358829865,1
700,1.9265680421770144,1.4266295456263922,2.600066300598182,3.734519962442257,2
800,1.9448729429154554,1.4901345089664506,2.622987790720805,4.2330148079120375,2
900,1.977432090223489,1.5227840962499477,2.6051597453972954,3.5752564432601157,2
800,1.8381504953903958,1.4892614981114343,2.412462866462483,6.157189987694579,0
800,2.0451264526710418,1.517585734066774,2.9621043218134404,5.50192682909488,0
700,1.8340241596786218,1.4171697773559344,2.4250704460796584,3.3376207678773797,1
600,1.8304694371126544,1.4124888231082302,2.3764543752286205,3.1678813737895988,1
500,1.7562019473909047,1.3643142527553218,2.175251992713025,2.7647212709620286,1
400,1.674957494262094,1.3751492704730575,2.076460900580083,2.619529570444727,1
300,1.628242871524194,1.3396682141586027,1.9553924339527988,2.2984288711682668,1
200,1.5584335528178714,1.306381517661253,1.8679367783858383,2.2269909211827086,1
200,1.6071839522682698,1.3171369692136945,1.8778457143918121,2.2624445819512204,1
300,1.642755912884638,1.338618207182855,1.9591058991105117,2.351064412644549,1
400,1.6773030784121645,1.3485921231641658,2.0432155658047235,2.44959412524484,1
500,1.7363305200210117,1.3934118602248655,2.187673160784303,2.731051476215442,1
600,1.8755664948116513,1.414890902195376,2.373663486292862,3.171987146495372,1
700,1.9345535120011341,1.4043451279762287,2.5952020395190845,3.6201557601612144,2
800,1.9751776230810707,1.4167268040427574,2.7380061639831332,3.8166327551509114,2
900,2.0510246799292453,1.4720401779992986,2.8001641029123094,4.246125496883455,2
900,2.0581728084022703,1.4875932744696954,2.778760385105759,3.857876004607472,2
800,2.041212630301507,1.5968022522715077,2.7588478127682508,4.100600513008768,2
700,1.8056310967899836,1.3583203575274583,2.4474692081991867,3.385744437873142,1
600,1.7577298823300265,1.371497860902684,2.2512616526169493,2.8616578654669995,1
500,1.720218889448096,1.3834871173284808,2.1614390738200258,2.7738588598374303,1
400,1.6551267470223037,1.3288098540852231,2.038994039813545,2.5577193400302543,1
300,1.6286838702216697,1.346646482921136,1.9606453340339725,2.327637791621482,1
200,1.6096194398697077,1.3047976153671321,1.9392729590008841,2.3357484759658087,1
