totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
200,618,1.5359081082153954,1.279612175033118,1.8099342200138229,2.2384181047485345
300,1360,1.648991922447758,1.3321665827841827,1.996916013088005,2.3897124540961494
200,884,1.585058236709036,1.3090226936027969,1.8686253566939428,2.196672170819845
300,1388,1.6216838167027485,1.3319291322091722,1.9840108343535887,2.391613902664127
400,1451,1.6790975569707156,1.3457354254953136,2.0491274701392417,2.480962396408169
300,1366,1.6560880586543887,1.3501639600430853,1.990556613654408,2.3833624909321514
200,904,1.5932896546718143,1.3386224704179301,1.9026858128600894,2.3334789686942363
300,1207,1.6167200118594687,1.3408210159964344,1.9658376150909072,2.3891955572245784
200,895,1.594621268417843,1.3038430473301705,1.8743078946128793,2.2419210156361347
300,1202,1.6588155616354285,1.3323073371791887,1.988819827680514,2.4149951816703714
400,1655,1.6850084450703218,1.3636746398297557,2.1079057551180886,2.6491246972560534
500,1860,1.7574636663623764,1.4003159309317779,2.232302337963041,2.839577965886595
600,2003,1.8767926940920434,1.441966680616967,2.4024159328642325,3.1526680637949895
500,1850,1.7604055154943743,1.3797875292750619,2.2283819159793725,2.9033652893465063
600,2082,1.915677611405902,1.4315346874152137,2.4969203434534237,3.204208710114017
500,1830,1.8129723258073893,1.429641134125445,2.2839200103887594,2.9164375654021235
600,2080,1.8106398575317122,1.400419999147433,2.3403121450682693,3.1414211706605517
500,1819,1.7766574981209011,1.3850785254153812,2.219918456997678,2.7873169102614694
400,1635,1.7164879571778489,1.389167839090381,2.1032256512264937,2.624801644524899
500,1866,1.775772365531263,1.412440688205446,2.264623897300464,2.93737732124237
600,2108,1.8793815130770923,1.4062731708638672,2.435551403704458,3.173790277216603
500,1908,1.7667874819423317,1.3902947876041618,2.2022699881654155,2.8442576048898682
600,2061,1.850846459465578,1.435896394852662,2.365649077174174,3.2018544037986345
500,1800,1.7892715335010814,1.395108693188796,2.262595784851496,3.029890182219339
600,2038,1.84171583601483,1.3761790743140763,2.429713452600752,3.1407401212113024
500,1845,1.8285781103629017,1.4234138261269471,2.2964209637955912,2.87893225745587
600,1997,1.8684675173830896,1.4006227407932463,2.464922882187692,3.3073488011576315
500,1837,1.776294416181899,1.3943294888807602,2.2962923966874786,3.0594984878181513
600,2152,1.8450660481621324,1.436041928241381,2.3835413873835876,3.175451114824542
500,1807,1.7784367158797305,1.4043711987452623,2.198773087583625,2.7531955582495753
400,1582,1.6996853692696194,1.3660441267192487,2.088822189909151,2.6646826908690184
500,1923,1.7899176022615297,1.3995835505116851,2.2773681831639943,2.8557198249599294
600,2113,1.806191066316882,1.4085777813042972,2.3260635657378175,3.091787360735756
500,1918,1.778400555504894,1.3857541672206304,2.2918264362045253,3.028291001984096
600,2145,1.8584094476951616,1.3986376610545654,2.4016806247432303,3.129340540978449
500,1839,1.7899163684078085,1.4087493063839014,2.190135150831707,2.7778752380170255
