startCarNumber,totalCarNumber,overhead,duration
198,200,1.3057419649159392,146
199,200,1.5608257084389814,550
198,200,1.3735057394091827,439
199,200,1.7389152286459146,467
198,200,1.3892793588864396,517
199,200,1.9722022520623927,494
198,200,2.0996825969849384,387
199,200,1.7197003798338057,431
196,200,1.6127069467043982,519
197,200,1.566272622219316,497
197,200,1.4817533586759803,509
198,200,2.2517791144289836,452
198,200,1.6321777780491662,113
199,200,1.612121142127359,222
199,200,1.2341617192137686,29
198,200,1.9353656215940165,249
199,200,1.906678863976303,216
199,200,1.4073549937025431,344
196,200,1.5664060331309306,345
199,200,1.3950843978306822,289
199,200,1.8869970582101827,161
199,200,1.4534641419530598,524
197,200,1.2575806788817778,223
199,200,0.9833499088136617,167
197,200,2.8466485924562703,223
197,200,1.5933487215873863,612
198,200,1.8934794854602008,627
199,200,1.7038276544419,349
199,200,1.1154384955519323,171
198,200,1.30969512212578,467
198,200,2.710093269793994,122
198,200,1.3760600004489798,58
199,200,1.3974332797405926,115
198,200,1.6466737881266604,366
198,200,1.6221104035228104,316
199,200,2.1264838948508378,107
198,200,1.0596103931457388,143
197,200,1.004094599969426,28
199,200,1.3966528305227355,386
197,200,1.701830450033037,217
197,200,1.2880553536385668,160
197,200,1.3646632023798078,127
198,200,1.3704811051702186,141
197,200,1.6096183415075014,195
199,200,1.3694829950811258,175
199,200,1.9941997358295525,15
199,200,1.5125740470642373,211
198,200,1.0163866682648306,120
199,200,1.4276422761105076,147
196,200,1.059494292220873,218
198,200,2.351837762783907,456
198,200,1.7238646529506239,289
199,200,2.358926421678346,388
196,200,1.2440960215935077,263
199,200,1.5872371349416456,50
199,200,2.1653650815876717,374
198,200,1.4654091464538572,160
199,200,1.229254457586513,88
197,200,1.8919377773881656,282
197,200,1.9374979722592431,283
199,200,2.1471447561380863,236
199,200,1.4697441444710966,512
199,200,1.2077148610255093,219
196,200,1.6118700947129967,321
198,200,2.0311052254076114,238
197,200,0.9838996485708593,95
199,200,1.809592564237403,260
199,200,1.832259938355313,483
199,200,1.603641771078591,668
197,200,2.0612562109300625,347
198,200,1.6068357516221752,589
198,200,2.777533618155537,304
197,200,1.518032942632421,266
198,200,1.5339502451177771,400
199,200,1.8539092390380156,408
199,200,1.8451043407370085,290
199,200,2.0700968783047142,508
199,200,0.9766678391370617,33
199,200,2.070634125714517,276
199,200,1.3076432790844372,244
197,200,1.6949346505554703,259
198,200,1.743687843866882,411
198,200,1.7669424570093275,571
199,200,1.599459826747075,209
199,200,1.120892159803421,237
198,200,1.3963767515798355,320
199,200,1.94915681430388,282
197,200,1.1826550627613577,274
197,200,1.2775473315763168,171
198,200,1.9423851058492305,471
197,200,1.1529634517224558,269
198,200,1.25309193346525,132
199,200,1.2339532180907595,183
197,200,1.880158637823927,353
199,200,1.4512839910081197,457
198,200,1.4302441045647996,380
199,200,1.799912816980625,626
198,200,2.4396704523418884,216
198,200,1.8368997341244402,242
198,200,2.2497632911933096,332
197,200,2.1850523587712094,477
198,200,1.8923898048418257,360
199,200,1.8273708471137735,356
198,200,1.7259995989694745,223
199,200,2.5397764009502115,127
198,200,1.9835938536611815,300
198,200,2.7394426178567564,309
197,200,1.6008517030085512,530
199,200,1.3676319747743222,86
196,200,1.4383405706402705,263
198,200,1.519550880718533,68
199,200,1.9074988602827667,376
198,200,2.1284612960952334,345
199,200,1.3089081589974747,97
197,200,1.4264666252406066,581
198,200,1.1200867955893028,274
199,200,1.6157035035625897,361
198,200,1.8300708780754398,208
199,200,0.9680362863653967,125
199,200,1.874168637313553,426
199,200,1.0579780883925685,143
199,200,1.6479280369599998,285
198,200,1.4857425360141268,408
197,200,2.217929154149495,475
199,200,1.9308269820220967,417
199,200,1.9310372961320532,98
197,200,2.3977331399629485,259
199,200,1.961309442337459,499
199,200,1.7035655504948473,507
197,200,1.9639179995160987,385
198,200,1.4373547545120624,168
197,200,1.0439357139648433,150
199,200,2.0367933231995012,647
199,200,1.7616277181125184,435
199,200,2.376829641493715,411
198,200,3.0097932419260838,234
199,200,1.8231150016420121,409
198,200,1.8622822402210788,297
199,200,1.2425826422264608,306
199,200,1.1296390564804468,54
199,200,2.4731752927551716,275
198,200,1.1827579574354452,233
198,200,1.6450611041602876,760
198,200,2.183321833228991,34
196,200,1.4992103274214574,609
198,200,1.8608425436189195,792
197,200,1.5566271052375402,505
199,200,1.6670151206374748,452
199,200,2.2276171400083244,355
197,200,1.4683670456190538,132
198,200,1.3331900892993644,148
199,200,2.2721153810080614,290
199,200,1.6363869565087028,602
197,200,1.4594200871394136,123
195,200,1.6118379896996284,252
199,200,1.28403420239963,224
196,200,1.6499241670649645,302
198,200,1.8728277075081003,343
197,200,2.387974426620469,243
198,200,2.3039139283502297,286
198,200,2.42391250786912,218
196,200,2.2611476600306495,298
198,200,1.8659997626292522,404
197,200,1.611184225705284,450
199,200,1.4150265127935766,55
198,200,1.6621793752164056,134
198,200,1.0039395654163905,125
198,200,1.2162769601455017,215
198,200,1.6316428571853092,519
198,200,1.1730736748250685,61
197,200,1.0873765983182484,246
198,200,1.844119970450702,218
199,200,1.72239706590215,100
198,200,1.637809510637059,497
198,200,1.1505800959035997,173
199,200,1.6323079116003185,646
196,200,1.9470260396261112,330
199,200,3.0711579556287636,244
199,200,1.2044586984657748,334
198,200,3.087830376280571,407
198,200,1.8205643724699627,131
199,200,1.5032129920439374,235
199,200,1.9217440598189575,129
199,200,2.463317511548238,243
197,200,1.4620386469777964,463
197,200,1.254012777476593,314
198,200,1.3186252129587874,81
197,200,1.959774016815829,160
198,200,1.9050261662157406,246
199,200,1.2160324852766475,420
199,200,2.20495407039344,460
196,200,1.1024484213960086,173
199,200,1.5039223352610451,452
198,200,1.6681884857737646,220
199,200,1.1395025403730197,104
198,200,1.975524674034864,428
198,200,2.087107787729006,302
199,200,1.369458651267155,331
