totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead,label
200,320,1.6021539548084072,1.3146829393612518,1.9099148538215578,2.1791998681018008,2
300,558,1.615058736716477,1.3051008649741564,1.9795457940214631,2.535737080800204,0
400,675,1.711215218357074,1.3632340303672787,2.1621451327366605,2.5593963490915943,0
300,525,1.6304981012027757,1.3173211302998593,1.9732921933038958,2.3992600978612293,2
200,329,1.5812789890010803,1.2921120051781045,1.9292801793404484,2.3323445177994766,2
300,558,1.6387812395787118,1.3630105539160045,1.9616215896102203,2.4407290868429774,2
200,349,1.6041750646481543,1.2980233408282464,1.9379022389910985,2.3305200745672354,2
300,551,1.6595073895009245,1.3450246241807449,1.9902463608671743,2.41782136585756,2
200,366,1.57344092933837,1.3105491062044003,1.8821818982441543,2.197109098925757,2
300,491,1.602782918709766,1.3073561028156326,1.9125303159857983,2.403779555711212,2
200,342,1.6628381646287322,1.3692674900567976,1.9658971940911498,2.4244906416635765,2
300,536,1.63048134893834,1.3432489329357622,1.9664972083606904,2.3334864139410296,2
200,348,1.6259874546320736,1.3134686127910193,1.9675654537050955,2.4562151745402483,2
300,477,1.6736749844347816,1.3805825055388274,2.0185491894872243,2.465035172568676,2
200,390,1.5443511704996014,1.3214044949325412,1.9397056387563552,2.544852120965481,0
300,534,1.6605405047604256,1.349409038091069,1.9904291433767296,2.651721413111213,0
400,753,1.6825533628936056,1.3655708610609403,2.1296596755045027,2.648832130244891,0
500,880,1.7657812904370656,1.3696539591219101,2.233862221972186,2.734112685344072,0
400,671,1.6832914704313748,1.3170705890011236,2.096455699625552,2.547010127823902,0
300,499,1.6585284512240555,1.3484758068230747,1.9914070154066374,2.4347809244035727,2
200,369,1.5562473268178905,1.293349099049691,1.9197856445611505,2.343555937257071,2
300,471,1.611898910225934,1.3420329426480249,1.9148581891453125,2.3136129817419335,2
200,355,1.5863360792070111,1.3377799210147856,1.9627713137325211,2.550000706554222,0
300,568,1.6475647514506848,1.3504608208878546,2.016016046720413,2.5407516781905617,0
400,781,1.6870324243650014,1.3347863681738745,2.101031781746474,2.5744714200021237,0
500,872,1.7681451868504758,1.4132829378830731,2.224421581250168,2.967367818785296,0
600,928,1.78740904132952,1.340204031026233,2.372564260316934,3.249446548990645,1
500,838,1.7048293932395064,1.3589344983171991,2.161482200972108,2.6854169694226755,0
400,681,1.6769423882899281,1.3353311057402146,2.028298680911145,2.484529585540911,0
300,488,1.6165538349499968,1.3198272914425568,1.9338214044000197,2.327902311634839,2
200,376,1.6003500527757435,1.3108614798942497,1.9497635980608072,2.414247726683125,2
300,539,1.6819396127614366,1.3813629158734797,2.0234620533085925,2.48492278676835,0
400,672,1.726516078651073,1.414785115674412,2.1419984638721425,2.608540335252221,0
500,721,1.8284158930383736,1.4322159655921012,2.2367152026557933,2.7300651750033467,0
400,728,1.7445388628959035,1.3535821077549206,2.136251994270618,2.8239098041996855,0
500,794,1.7711453307395455,1.4067642137257057,2.1920348524976103,2.8101215350513633,0
400,602,1.7363471561219512,1.418758032055313,2.0974995632454068,2.6266562459370677,0
300,423,1.5965136326084792,1.2984232088964025,1.9341974588824624,2.325693958344106,2
200,421,1.6187066760827926,1.2898978359717526,1.980629418245436,2.4917130961612077,2
300,522,1.5981388352700967,1.3006139309946247,1.9124761058493074,2.290473852719409,2
200,426,1.6076312638221442,1.310934931565047,1.9535799140922745,2.5283030383400495,0
300,506,1.616628673843847,1.3311973852861163,1.9820331199091668,2.3801176140964073,2
200,404,1.6187274920019088,1.364676818395069,1.991604428757099,2.582317657721412,0
300,590,1.691279511781953,1.3461888138647122,2.0203314007858704,2.624743148645485,0
400,687,1.6468877114928766,1.3194030372706247,2.055902410782241,2.4400485403126484,2
300,485,1.5847829191795404,1.305230646867238,1.8894140169667821,2.284069237263198,2
200,398,1.6261983899371948,1.3295621298025357,1.9494961801799635,2.624252828486973,0
300,436,1.564186288285232,1.3309539878807475,1.8516317038078753,2.228077725131106,2
200,388,1.5959411957279817,1.3068340574890376,1.951975863112533,2.612217164505599,0
300,544,1.6640608322306718,1.3588124503670431,2.085438425198868,2.527154738525838,0
