totalCarNumber,avg_overhead,std_overhead,var_overhead,median_overhead,q1_overhead,q3_overhead,p9_overhead,duration,label
200,1.6882107408022378,0.49981734089819474,0.2498173742625422,1.6169761064864274,1.3276669948715076,1.924599115976639,2.2767791024696304,295.3796992481203,1
300,2.2815197607620075,3.546109187051577,12.574890366491594,1.6203520985269197,1.3062784322185108,2.039887515243548,2.460764397128732,375.05109489051097,2
400,2.5719445858451615,4.580152312693757,20.97779520747397,1.6736860002301674,1.38787906835664,2.0841400250218105,2.764805041060856,473.29656419529834,0
500,2.6698712202368236,4.570045250032992,20.88531358734911,1.8177030307661197,1.402220944914418,2.27655005548054,3.0300916255162047,586.6285240464344,0
600,2.8309834125485986,4.8260460577059625,23.290720551099266,1.8015348042458663,1.395518903353846,2.408908542725626,3.247078594659578,698.0788770053476,0
700,2.8764581841407004,4.241746341591401,17.99241202640404,1.942154289705761,1.4489029140838425,2.5952395298404,4.102090988550479,697.9230769230769,2
800,3.173919875691732,4.623891098460722,21.3803688904243,2.0344811461580354,1.486102140911752,2.8960745393029024,4.642761660475168,867.7646383467279,0
900,3.024974396925792,3.9015720953705975,15.222264815374515,2.135607862663723,1.5738470127912965,2.9310809245924716,4.665541663266464,768.9828850855746,2
1000,3.625510035586742,5.114479471705212,26.15790026649402,2.1745894281660902,1.485152783178628,3.3322347265655736,5.705215529269074,1119.9609279609278,0
1100,3.430018692193557,5.026497320722421,25.265675315229675,2.044255789623894,1.4604976140574584,3.0283561175162195,5.341061903040931,1070.8226495726497,0
1200,3.4779033987954073,4.812975190104405,23.164730180560532,2.124910197847483,1.5518573447306412,3.10433736010651,5.671025753037356,987.8563411896745,0
1300,3.5561609551484934,4.960866091554937,24.610192378339555,2.1592050061734707,1.5730603552681193,3.135275319215275,5.820146584748596,1149.7528556593977,0
1400,3.9271356466041407,5.57334954324371,31.062225131174873,2.2085006206073414,1.5285019679090572,3.363090989015409,7.427605187433139,1481.905319148936,0
1500,3.997115812952619,5.3708192219108195,28.845699114446745,2.3364510460702395,1.6465111032899709,3.6573153110525194,7.460987731272709,1406.7492130115425,0
