totalCarNumber,numberOfTrips,median_overhead,q1_overhead,q3_overhead,p9_overhead
200,424,1.6118540422063126,1.3462601078869798,1.9079261857152927,2.2534719929220097
300,947,1.6489787025332,1.3700629674985263,2.0204251439254133,2.427889341127508
200,639,1.5623873208767187,1.2872309633538555,1.8578185322329206,2.1628905181961375
300,984,1.6470672587190636,1.3444699054833957,1.9731599313920172,2.369995982768054
400,1319,1.6777809753295836,1.3727113577497596,2.101250438144124,2.575436686314071
300,1051,1.575544595472271,1.300648031765919,1.9228843937810243,2.379445289975231
400,1219,1.729491387669751,1.384887683569631,2.1223498800100904,2.6378987836600514
500,1528,1.7915356219297358,1.385182441711208,2.2609127080128006,2.8610258204070647
600,1667,1.8681427756063886,1.4243522952055838,2.431201001784385,3.287199549917802
500,1509,1.7632650604066658,1.3692012294662221,2.225556832718166,3.013263391192183
400,1193,1.7121303897469526,1.3793181505599836,2.114788683816831,2.56459330960611
300,1018,1.6137662083836748,1.3362731985649474,1.95790836169617,2.3829311091467753
400,1437,1.7357913303006216,1.36800334046308,2.154864266086339,2.6818734677988805
500,1726,1.759126199139934,1.3761874926806184,2.2100178889713384,2.7264044114171293
400,1465,1.6989596888465779,1.3685225389765188,2.0881606854616326,2.596067924825217
500,1734,1.8137662012829106,1.441481206521264,2.2437479320315035,2.8689333859759043
600,1906,1.8292709465452879,1.4063775670554117,2.358541455913804,3.126338364177498
500,1809,1.7340456139001745,1.3987549391749186,2.1858342231663896,2.817919366236151
400,1414,1.7109501556512192,1.3831393521595348,2.098171554518174,2.557157269491972
300,1021,1.6269538755200161,1.3490046230953603,1.9601324021892528,2.371057361525026
400,1293,1.703512647919392,1.3781021096189492,2.132837518307067,2.677002176374052
500,1679,1.81374637069924,1.3964757305538105,2.273202065791883,2.931662102101079
600,1866,1.8241068945973433,1.4157764628853096,2.359210932018872,3.2394194933943004
500,1609,1.7688948903855248,1.3935952206381512,2.2227812347528046,2.803783368441504
600,1852,1.816590923334023,1.4107392365160274,2.3735469014680315,3.228910796107658
500,1664,1.77713348745811,1.37257392693797,2.319155555561913,2.9580301470224803
600,1757,1.8572373062077339,1.4311037890250102,2.396108775251878,3.1729001976036324
500,1608,1.780182972590949,1.3783412005576956,2.2761586675640624,3.053840631904201
600,1871,1.867939165577735,1.4530842470179444,2.412777012996486,3.198110162423192
500,1567,1.7662226855087548,1.3836070820935187,2.242803149796598,2.8535475812112647
400,1217,1.6786138140354359,1.3424891432653396,2.080306130510439,2.560468717088293
300,976,1.645449620031119,1.3288913912327718,1.9586453270223614,2.364896468738409
200,687,1.5978670549960459,1.3043241371913492,1.939091640122629,2.3250726196645646
300,943,1.591551777191932,1.3312227264566452,1.9474562077497202,2.32044909998941
200,675,1.5872096844598331,1.3395689152019146,1.9359231255219684,2.432329301712324
300,1052,1.6098800638450377,1.3294989721467751,1.9539640730016714,2.35063898962904
400,1435,1.7125265138709491,1.3718039696052011,2.110616787595007,2.5483890448967985
500,1651,1.7929974117003715,1.393990317029851,2.2263827656085713,2.9185580457717464
600,1883,1.8558834589341506,1.4215733506772241,2.335249444385604,3.0832752194665947
500,1560,1.7779892102604404,1.4002158483076166,2.188135221039109,2.7646557373693597
400,1342,1.6937510338634327,1.3449492337748503,2.1162358534428427,2.676405355730275
500,1498,1.7484955986158681,1.381136047271201,2.160041492933114,2.680894377780703
400,1314,1.6692144638960085,1.3713322613962822,2.0662631255600323,2.5284168308112447
300,943,1.6303499965806,1.3225287964570824,1.9365634602316137,2.2869867446428653
200,688,1.5877271996580535,1.33170534375347,1.9215999244872557,2.4134999351443165
300,972,1.611834900836623,1.3435477791899542,1.9363864955261292,2.2833065061633295
200,699,1.5691781109434593,1.2847780814393066,1.8872117673127504,2.281786546153175
300,862,1.654017988096875,1.3534115871027315,1.9897549283484093,2.4436153074633498
400,1137,1.6494154026907444,1.331830269614756,2.019190885713096,2.4428406204654625
300,844,1.6346722683774226,1.3288334560522097,2.0222344804831165,2.4175371460253565
