startCarNumber,totalCarNumber,overhead,duration
195,200,1.153814521410999,116
198,200,2.1138067650778325,165
198,200,1.3488866207386216,452
198,200,2.0063127888167758,346
198,200,1.0343318783431712,251
198,200,1.5320357937317044,361
199,200,1.7425206657232848,459
199,200,1.2025737059801267,78
198,200,2.6279021287522064,438
197,200,2.3050724204298256,129
197,200,1.1580678583240984,178
199,200,1.4067725104372606,296
199,200,2.0653593935031873,406
197,200,1.125165320387911,57
199,200,1.4995202911273926,366
199,200,1.4300084054146502,351
197,200,1.2179301161584142,149
199,200,1.1625953013560686,119
196,200,1.397949821898474,511
199,200,1.523286971615902,148
199,200,2.8014140557016707,198
198,200,1.696482798863928,355
198,200,2.141236737105699,147
198,200,2.0941418511004373,488
198,200,1.8569716770112006,398
198,200,1.1648315210557592,98
199,200,1.5681867976590498,205
198,200,1.4780538919142467,379
198,200,1.6218304908769183,72
198,200,1.7454199840888276,520
198,200,1.5199649791384948,164
198,200,2.0974534133941938,395
197,200,2.091145496010594,347
198,200,1.7244274434597284,302
199,200,1.0098187227601987,155
197,200,4.1270344682451485,361
199,200,1.7086281717864058,161
197,200,1.5453764536230663,126
197,200,2.057624580418661,426
197,200,1.3482535148727999,361
199,200,1,8
197,200,1.929756839792666,374
199,200,1.609740016481485,379
198,200,3.0567368887552737,80
199,200,1.519308749038867,436
198,200,4.049242840028599,505
198,200,1.4382435838560765,682
199,200,1.6382585957431748,63
198,200,1.1987392928644514,66
198,200,1.033874615113769,300
195,200,2.4903205833162128,180
198,200,1.2683481124208045,171
198,200,1.2790062809547196,92
199,200,1.1582329442850554,32
199,200,1.52942848306564,364
198,200,1.27817183440937,206
198,200,1.2736987333197083,279
196,200,1.2278026891924068,126
198,200,1.9538375635902332,321
198,200,1.4757993416706445,496
197,200,1.552065992478327,267
198,200,1.7889265674204544,394
198,200,1.8495166325529628,534
198,200,1.1610498450457016,135
199,200,1.1322010809517615,164
198,200,1.5603676995185614,410
199,200,1.9072007813716556,111
197,200,1.5398925295240202,375
196,200,1.133641833546053,180
199,200,1.6384846474549088,193
199,200,1.2198633908539824,138
197,200,1.5101951193732408,588
198,200,1.3255442984675159,294
197,200,1.0692893708236297,92
199,200,1.0445097751207617,279
197,200,2.0167103536570536,306
198,200,1.2722167211013882,347
199,200,3.5389557358305654,341
197,200,1.5913472568557299,263
199,200,1.7157419501777706,215
198,200,1.6958505109744377,406
198,200,1.8085411949162566,336
197,200,1.411174031253508,193
198,200,2.0016627177819237,179
199,200,1.5995884730874612,431
198,200,2.366948083982834,147
198,200,1.8412299056416948,168
199,200,1.1210730891778466,166
199,200,1.4188859620192795,72
199,200,1.4228855373038753,179
197,200,1.295231471697969,73
198,200,1.0995530470066057,155
199,200,1.7376252694221694,346
197,200,1.5167402634501863,427
199,200,2.4069006110061975,359
198,200,1.4364462320219773,80
199,200,1.6508313996743236,366
199,200,2.005631068393296,231
199,200,1.4542246211790475,178
198,200,1.4280769072766166,145
196,200,3.705355446469396,99
198,200,2.3113863274026687,340
198,200,1.3242573916694909,180
198,200,2.593435619347698,138
199,200,1.4009599686423393,378
197,200,1.0241137022911129,194
198,200,2.2208700663850705,619
196,200,2.297367472065363,262
199,200,1.650700979508412,164
195,200,1.3476354405313882,283
196,200,3.019428328656129,222
199,200,1.2440741385442509,145
198,200,2.0607535377206156,126
199,200,1.40587411692021,369
199,200,1.7990318434840917,147
196,200,1.384673868657768,331
199,200,1.4255054486039664,198
198,200,2.944882288757828,204
197,200,2.1402671518533625,228
199,200,1.7469959220566305,462
198,200,2.0838803557650794,179
198,200,1.551094611902462,557
198,200,1.8192301838375264,96
198,200,2.764424273916832,261
199,200,2.097973751623502,246
199,200,1.680035137989814,27
196,200,1.93689224545319,351
198,200,1.7200215326333217,292
199,200,1.1208190962075946,139
199,200,2.0021243172862553,306
198,200,2.4912429560041964,189
199,200,1.4599818588268876,119
198,200,1.6346675838392573,371
198,200,1.4170977181787774,167
199,200,2.332149705024004,174
198,200,1.8120316972271044,102
198,200,1.7500804944459314,561
197,200,0.9826051739630496,56
199,200,1.9714599211200818,329
197,200,1.2679969332572156,64
199,200,1.1100012745596222,80
199,200,1.8346712237540515,481
199,200,1.8501534956517547,421
199,200,1.4260579347511375,394
199,200,1.1850681414181314,66
199,200,1.438686997162495,536
195,200,3.2679617901323414,459
199,200,2.2611862150058095,273
198,200,1.8661706423351052,438
199,200,1.63894724730355,494
199,200,1.1518316457962035,37
199,200,1.2048692514453099,306
196,200,1.8810541958442588,145
199,200,1.4702124579034508,265
198,200,1.040970178928564,155
196,200,1.5352590172609282,518
196,200,1.3041436175764531,30
196,200,1.3213688697994983,106
199,200,1.2088514235003869,289
198,200,2.36325583746326,360
199,200,1.1791231615972808,181
198,200,1.292694457697238,116
198,200,3.029382513747111,273
198,200,1.7098617155205704,192
197,200,1.1530533007826684,43
198,200,2.361039711302161,223
195,200,2.0674472318872152,650
198,200,1.9632549852164454,524
198,200,1.6788446334939788,173
199,200,2.127284593590385,134
198,200,1.7623936417128951,495
198,200,1.1652000154665918,126
199,200,1.2153284082845404,77
198,200,1.119111199134647,108
199,200,1.3781244192035644,383
199,200,1.7290786923590964,541
199,200,1.9081730249890023,322
198,200,1.9578173073544345,214
198,200,1.1651540000243774,252
198,200,1.577762821858463,142
199,200,1.351646824838133,83
198,200,2.248064771078771,364
199,200,1.2381099776542273,307
199,200,1.6388825295126392,369
199,200,1.6930916583095454,603
197,200,1.279339028601928,398
199,200,2.617375826522461,150
198,200,1.3621493781266265,239
199,200,1.8774128018333436,109
197,200,1.932661893087592,425
198,200,1.4638425408918276,64
198,200,1.362827037477683,325
199,200,2.892769813786624,364
199,200,1.6088723603464394,543
198,200,2.066677889091985,333
199,200,1.6606519737268928,246
199,200,1.4701459194946118,709
198,200,1.3606040969631945,210
199,200,0.9862894548732957,167
197,200,1.9276650353577494,308
199,200,1.207720241726551,243
199,200,2.1251862243851534,298
199,200,2.7459217725391514,129
199,200,1.9753824860875462,403
197,200,1.5306013025947538,214
198,200,1.9260585097752922,283
199,200,1.3476547889707509,286
199,200,1.186101754444651,267
198,200,1.3049136777968218,171
198,200,1.6403893834850218,444
198,200,1.2274807121317157,130
199,200,2.120427650828944,349
198,200,1.62130253207726,468
196,200,1.5556002898953134,264
197,200,1.5921261989211117,286
197,200,1.2761124768140721,200
197,200,1.346931781647583,367
199,200,1.2684736847341422,83
198,200,1.549066196143052,267
198,200,1.1505054292622683,179
199,200,1.4044669289445393,252
198,200,2.1491952813148583,374
197,200,1.9144242011051398,219
199,200,2.1166076041236135,457
199,200,1.5244504733541147,252
199,200,1.2415013346014798,371
198,200,1.8182923083107385,268
198,200,5.3225692246391,195
197,200,1.4550590486706183,392
199,200,1.0682158776871147,210
198,200,1.5129686599903809,239
197,200,2.3440451604722634,128
199,200,1.0641929789106424,97
197,200,1.5639012814407105,540
199,200,0.8823928039727489,148
199,200,3.9830905011250315,325
197,200,2.0959959802180546,98
199,200,1.615451164407294,252
198,200,0.9869142397590485,204
197,200,2.0813113639169374,600
199,200,1.344130474600106,343
196,200,1.06699612871425,132
196,200,2.5885234037395435,314
198,200,2.156793027750144,545
198,200,1.318966157469408,120
198,200,1.3903366411938056,419
199,200,1.3373521309685001,203
199,200,1.2188777837575806,194
197,200,1.221389152480151,41
197,200,1.8447449226419737,402
199,200,1.438397664748456,300
199,200,2.2715994075098545,182
199,200,1.5702265954606145,504
199,200,1.4235555113299199,329
198,200,1.1008899644592616,341
198,200,1.5084126865363279,172
198,200,2.6038967469904692,303
199,200,1.3324690796790994,82
199,200,2.175044013051674,274
196,200,1.7782407189764884,788
199,200,2.192176875902567,418
199,200,1.1265574207710605,168
199,200,1.32649070484586,238
198,200,1.6067597730888814,435
196,200,2.2152621620813284,216
198,200,1.6802811309713683,607
199,200,1.3563224664334317,221
198,200,1.3064948502092837,118
199,200,1.2426844143885705,151
198,200,1.9945270025027246,389
199,200,1.1066513735337153,309
198,200,1.78117467049996,484
199,200,1.774911480944097,326
199,200,1.5489525494023135,594
199,200,0.9465968943197254,169
199,200,1.9048852588912928,126
198,200,0.9200780679334054,168
199,200,1.5729697719254725,436
199,200,1.3763398120632806,280
199,200,1.8960080805565809,287
196,200,1.1171280432594373,121
199,200,1.4804362212974032,493
198,200,1.44054217950874,372
199,200,1.3715825043025514,161
199,200,1.1659172742534807,102
197,200,1.2649384249346387,127
197,200,1.8925546074310193,393
197,200,1.427204464430328,531
199,200,1.2701896041091512,41
199,200,1.9601299106099055,355
199,200,1.3231290753371638,55
198,200,1.1786013060506355,288
199,200,1.3679252692628083,15
197,200,3.534260444343901,572
199,200,1.9707036074487323,242
197,200,1.212726752453016,304
198,200,2.2042746802980853,365
195,200,2.3950454256379974,188
195,200,1.4439354018398627,176
197,200,1.1069949464398656,313
199,200,1.6264351193719133,258
199,200,1.675307500814865,661
198,200,1.6029569882084886,379
195,200,1.0738582912841306,195
199,200,1.3483697439970885,324
196,200,1.6712200112974638,263
199,200,2.906778837607656,553
198,200,1.3339421387377668,165
196,200,2.5063552857481706,382
199,200,2.329618904614928,463
197,200,2.4140987619470393,307
199,200,1.2610898018861147,156
199,200,3.118708097928053,112
199,200,1.3796763596326962,366
198,200,1.425794255047895,169
197,200,1.653597516475462,333
198,200,1.4929768644498533,216
199,200,1.498779001610512,205
197,200,1.6490718970178078,129
198,200,1.2762328647323253,108
199,200,1.9983286510235445,563
198,200,2.088423086492133,245
198,200,1.2142296165381852,346
199,200,1.0584754392591533,65
198,200,1.3456597240969719,500
199,200,1.1139280498634696,110
195,200,1.752035144968038,168
199,200,2.3429639179192447,141
198,200,2.5703986456610117,197
198,200,1.0403197084394444,261
198,200,1.4944000762228518,177
198,200,1.2174024818776263,59
199,200,1.3251723230552417,96
196,200,1.6113632660588604,91
198,200,1.438285505366429,386
199,200,1.8913217873033623,304
196,200,1.5500502176096418,22
198,200,1.3241261521752685,76
195,200,2.177155708156816,228
198,200,1.1759017716970308,99
199,200,1.897611368644011,399
198,200,1.9690468811568422,138
196,200,1.7125472453450368,157
199,200,2.713071001829887,90
199,200,1.1463430600349962,272
198,200,1.6151964174706541,287
198,200,2.427644053939318,424
199,200,1.809303387434604,149
199,200,1.6472657110087445,794
198,200,1.021146967858989,135
198,200,1.6322630114742838,494
199,200,2.3462522729804935,132
198,200,1.353485452306653,208
199,200,2.163560939061461,396
197,200,1.8056373531399503,146
199,200,1.3640069298472735,43
197,200,1.49330331442388,47
199,200,1.0529604552367073,141
199,200,1.1323803799234082,148
199,200,1.7918939805987564,301
197,200,1.6383147431412033,152
198,200,1.6040717424925857,498
198,200,0.9998189421966505,131
199,200,1.5394124876857105,247
198,200,1.0258477611082184,52
198,200,2.1107121915433,170
198,200,2.4977442906872085,275
